"","total_genusmass","simpson","shannon","richness","Bacteria","Eukaryota","Viruses"
"sample_1",0.657781130319724,0.192210372725712,0.521606880068073,21,4.54104633443438,0.00294671702420167,0.00157278206273513
"sample_2",1.55670101788116,0.0241571919465003,0.0885589585509401,17,36.0235092578845,0.00144856417845567,0
"sample_3",2.10876777304672,0.855491877921334,2.66929314785634,78,118.747785040892,6.17021385146368,0.0317817328378643
"sample_4",-0.32250051453542,0.594133990210163,1.2572760942463,13,0.351652000942142,0,0.121926081597299
"sample_5",0.686791253357538,0.651505624019108,1.32804450520919,26,2.71780783534722,0.00209590856966198,2.14163201663202
"sample_6",-0.653224933158216,0.746362329683555,1.92319133281696,18,0.221098739152153,0,0
"sample_7",-2.12954083187558,0.965687492648432,3.62357889961444,0,0.00681112099008893,0.0003451060510895,0
"sample_8",-0.572093873212653,0.869988674587215,2.40017404588396,23,0.218830326522786,0,0.0440175674606315
"sample_9",-0.612193127751899,0.465927572200466,0.917351752786229,5,0.242602214963526,0.000365491550319917,0.000101441277673181
"sample_10",-0.328583357522402,0.661732791548221,1.82719004273971,25,0.409689701886945,0.0195987062112823,0.0399749482037369
"sample_11",3.09734640511673,0.281989472336243,0.760078642020433,53,1248.96538406592,0.00343438043776903,0
"sample_12",-1.14065025724541,0.847422640170977,2.60682965205333,12,0.0633390353813964,0.000783841464500889,0.00767808343636098
"sample_13",-0.607330287979818,0.844763879686658,2.30012822374956,15,0.242625253956975,0.00103617493729146,4.98127637834906e-05
"sample_14",0.879938247315473,0.189592254849453,0.391113536663835,20,7.57046071492239,0.003089209872386,0
"sample_15",-0.267369167480373,0.359331106654495,1.0298853830584,14,0.103611005490101,0.436683850211433,0
"sample_16",0.191265058425972,0.610778652016095,1.4385698764063,16,1.53822348903048,0.0109654374505381,0.00296128017076923
"sample_17",-1.1286092622058,0.82941899591387,2.52425470042392,10,0.0664159950361139,0.00789277766578003,6.00211229336885e-05
"sample_18",0.294859816063303,0.794672923012638,1.921601418663,29,1.14283036051227,0.434506709282915,0.391383433137812
"sample_19",-1.16704696130558,0.66023340180897,1.35938220423165,7,0.0647676619206148,0.00330191302413525,0
"sample_20",-0.355947739237143,0.521225889548445,1.2912352259395,18,0.357616174174528,0.000811609258838424,0.0795377073661656
"sample_21",0.324643868707982,0.687874809083532,1.6536522976235,28,2.06026524771945,0.0426068163966645,0.0088845773342426
"sample_22",-1.76302472695561,0.705474897139941,2.16954294286372,2,0.0139173326307585,0.000631235535178161,0.000952808354985903
"sample_23",0.88278542584389,0.0134850212443336,0.0508593811290282,5,0.0485524709446102,0,7.58309254843258
"sample_24",-1.56712662483047,0.494986305078937,1.3483430259388,2,0.026730508485017,0.0003635070304986,0
"sample_25",1.66289330646317,0.610592433371904,1.23690913504844,45,20.1836878308455,25.812672553696,0
"sample_26",0.0786259134811294,0.182320429520569,0.525430906785789,16,0.116085301314624,0,1.0823812387252
"sample_27",-1.67451786576502,0.77683285514191,1.63458300485338,6,0.0211583664333873,0,0
"sample_28",0.761925215527821,0.00686777359690938,0.0305491876282052,6,5.77736750348264,0,0
"sample_29",-1.47608527851193,0.896934526853661,2.68041081711236,7,0.0293065341122121,0.00366544082415277,0
"sample_30",-1.53151945281933,0.806812428240435,2.3079908960472,5,0.0282795604552395,0.000332556923768642,0
"sample_31",-0.0369532004384726,0.121592548553591,0.338345538252202,8,0.0576357220792885,0.860023765778397,0
"sample_32",0.209821778626666,0.886962013670552,2.5897801441835,33,1.34243832786829,0.276534021554054,0.000231558453226582
"sample_33",-0.370053089249439,0.109588598348739,0.39551149731404,10,0.0211059252786027,0.00189452253584693,0.402437842682838
"sample_34",-0.562004856288596,0.86146328706427,2.5640764557395,22,0.270656909346072,0.00265515221715264,0.000179194898822976
"sample_35",-0.777496811766461,0.317931915649902,0.80278523532559,6,0.162342205469497,0.000399361634116179,0.00417643898795875
"sample_36",0.112227911086199,0.571407348131371,1.40462084305354,26,1.06338789457515,0.224300810616146,0.0012397308957469
"sample_37",-0.16603133712019,0.752200813571694,2.14953292103162,28,0.676335166293371,0.00577212644039741,0
"sample_38",0.218864234246802,0.912866588791605,3.02671711840167,50,1.35669520321925,0.289235755550176,0
"sample_39",-0.336343231017494,0.921207578812942,3.08197987432184,31,0.434354209793853,0.0254275020215407,0
"sample_40",-0.332123330649379,0.926399143057792,3.44287455314759,55,0.459705112327213,0.00347252665981832,0.00131691467299933
"sample_41",-1.10941294460987,0.799300217990849,2.1456437156061,13,0.0729165940613885,0,0
"sample_42",-1.78234116593604,0.90228516713579,2.59999237353252,6,0.0113195804230935,0.00464057750479341,0
"sample_43",0.551095227498425,0.683004594090038,2.02359283339672,57,1.56586639034243,1.95758623061121,0.000431825808871429
"sample_44",0.419308645696617,0.190123179431661,0.601408572880008,29,0.249643557328329,0.0112479103408277,2.36131486472655
"sample_45",0.346417335530817,0.469801352178582,0.742436073597039,10,2.21498241243898,0,0
"sample_46",1.5376323277653,0.853443386123276,2.27020892174984,61,34.267857939297,0.0436598497687525,0.142541583354275
"sample_47",0.10951594814882,0.722215946593803,1.69225863485017,25,1.28188490266149,0,0
"sample_48",-0.132194528048582,0.446911729908636,1.25395990901195,20,0.728161264870753,0.000600966127575657,0.00725689404934688
