"","HALLMARK_ADIPOGENESIS","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_APOPTOSIS","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_COAGULATION","HALLMARK_COMPLEMENT","HALLMARK_DNA_REPAIR","HALLMARK_E2F_TARGETS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_G2M_CHECKPOINT","HALLMARK_GLYCOLYSIS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEME_METABOLISM","HALLMARK_HYPOXIA","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MTORC1_SIGNALING","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYOGENESIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_P53_PATHWAY","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PEROXISOME","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PROTEIN_SECRETION","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_SPERMATOGENESIS","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_UP","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_XENOBIOTIC_METABOLISM"
"sample_29_Nasal",0.058615481,-0.04164608,0.098497649,-0.001211947,0.08020381,0.200893268,0.084641942,0.082221248,0.100682956,0.086444523,0.080691102,-0.087687645,0.049119278,-0.142291758,0.270571846,0.272979584,0.202590282,0.129166819,0.061719287,-0.093976159,0.098598514,-0.017049847,0.009458691,-0.010588727,-0.077399415,0.077038478,0.058907707,0.004230697,-0.13879024,0.169694395,0.091517005,0.433167217,0.121982196,-0.104992202,-0.380665251,0.303080672,0.02791971,0.038211613,0.210783635,0.011059941,0.277357512,0.190294685,-0.011511002,0.152686882,-0.021361138,0.26814062,0.006721315,0.169880116,-0.286198344,0.14235294
"sample_30_Nasal",-0.138715861,-0.159850546,0.159370636,-0.038552037,-0.099572845,-0.12363381,0.004022496,-0.123347216,-0.094375163,-0.049708926,-0.032601827,-0.086615643,-0.099617926,-0.185592319,0.172906777,0.063004734,0.130521907,-0.028587153,0.07236787,-0.163351292,0.074449603,-0.033508213,-0.191912781,-0.225984388,-0.102720749,0.277461298,0.177796476,0.026378607,0.004459708,0.106692187,0.025682062,-0.028604395,-0.11240787,0.187205209,0.138064889,-0.113299051,-0.051750617,0.122100103,0.006197327,-0.022872854,0.215562589,0.051615258,-0.159519896,-0.184432076,-0.24702765,0.014427569,0.065770119,-0.058059073,0.010193024,0.102594305
"sample_31_Nasal",0.188008221,0.049802171,0.385117091,0.240462501,0.127514365,0.251116604,0.305770796,-0.003787568,0.103511967,0.151520541,0.077418013,0.082999738,-0.031064309,0.048991841,0.323936348,0.328898913,0.222452486,0.104701992,0.225045497,0.156492647,0.220086199,0.241166717,0.169430003,0.245217778,0.156398786,0.472962649,0.40246556,0.014003621,0.121423072,0.033704923,0.22497162,0.352257241,-0.02288677,-0.085435844,0.081332939,0.370056671,0.372100491,-0.244308941,0.230367499,0.251087357,0.397130946,0.422972121,-0.291760021,0.420699216,0.381696565,0.274304472,0.179100344,0.407333143,0.089081424,0.164473166
"sample_32_Nasal",-0.197741998,0.241966539,0.134881459,-0.027059896,0.098166699,0.186017937,0.225966979,0.045637519,-0.102567903,0.211558836,0.28418535,-0.262327132,-0.172231111,0.25452659,-0.057437042,-0.024486924,-0.310593687,-0.090501405,-0.070997526,0.101163387,-0.085286368,0.100312229,0.156379135,0.383684562,0.381684477,0.445947919,0.41701622,0.273202767,0.277343986,-0.11298158,0.068274982,-0.362501995,-0.398831421,0.103595506,-0.267120131,-0.469622967,0.061483712,0.119102928,-0.247892783,0.175048899,-0.242369383,-0.022010159,0.107919823,0.159312031,0.523789781,-0.203039,0.118343463,0.177409399,-0.222882538,-0.035878446
"sample_33_Nasal",0.104770284,-0.227656188,0.447314138,-0.268075609,-0.019005273,-0.065309993,0.153868344,-0.156438693,0.330951543,-0.09352447,-0.096017027,0.308004479,0.178192908,-0.234538772,0.29463494,0.356340832,0.209210061,0.293135522,0.248550366,-0.052887782,0.107737731,0.212875525,-0.067721987,-0.113039127,-0.273618147,0.490149977,0.292430689,0.015537124,-0.26216643,0.314159364,0.245311564,0.441450587,0.277345909,-0.186130121,0.191792158,0.354618854,0.166281735,-0.266213789,0.23074672,0.081813571,0.303737533,0.355213418,-0.03193743,0.153435594,-0.07763282,0.329069611,0.15772317,0.202620596,-0.153690688,0.0950684
"sample_34_Nasal",0.075588535,0.394452102,0.45167848,0.338683263,0.35676621,-0.039477591,0.448964662,-0.072391856,0.286759291,0.422770182,0.482893569,0.043708534,-0.143477376,0.321416691,0.213444486,0.342945233,0.138418078,0.039098349,0.29857839,0.013519117,0.173422645,0.422868165,0.409412248,0.478628655,0.517011819,0.648093315,0.574043476,0.136151588,0.4824818,0.074928018,0.464828119,0.364207293,-0.122699956,0.034571539,0.079730003,0.289573835,0.346641726,0.220490294,0.132345827,0.41536367,0.393852493,0.546870625,-0.234413586,0.474425033,0.641161973,0.363283372,0.139930935,0.417129111,-0.090018919,0.18131703
"sample_35_Nasal",0.323255944,-0.070519287,0.559690124,-0.035902406,-0.134000454,-0.208751516,0.363741624,0.014920694,0.295623069,0.06792923,0.114216081,0.36568179,0.188111099,-0.140176449,0.315045321,0.327591132,0.32236905,0.242468232,0.319906629,-0.297053708,0.291924852,0.242969062,0.151400345,0.241822763,0.143664759,0.551049266,0.449269003,-0.225882817,0.120132549,0.164713059,0.460711282,0.529188703,0.226411891,-0.218183792,0.157902908,0.526206763,0.377262572,-0.274910801,0.223681526,0.337504105,0.622226718,0.444036689,-0.226854824,0.507386749,0.431908267,0.476433674,0.237478631,0.326599804,-0.120561897,0.246454088
"sample_36_Nasal",0.146509593,0.108140119,0.340882772,-0.269065454,0.041681578,-0.004338975,0.328001429,-0.140284077,0.265545801,-0.070300012,0.064948467,0.258903902,-0.150620948,-0.241403976,0.253358911,0.242584982,0.247098528,-0.025933327,0.252153353,-0.394460177,0.17000764,0.050533226,-0.029857918,0.026599178,-0.106937417,0.405276828,0.35916542,-0.046614178,-0.074672414,0.171094269,0.252487127,0.339857576,0.21472511,-0.106322058,0.13704913,0.368193126,0.28957619,-0.155843722,0.170317693,0.128237092,0.33410132,0.30379486,-0.276195964,0.008300394,-0.022706296,0.133081453,0.149573651,0.040672967,-0.174366619,0.16082954
"sample_37_Nasal",-0.024150559,0.188563567,0.200517411,-0.00319543,0.218005763,0.156361565,0.233379515,0.003703003,0.10300995,0.012432951,0.218143829,-0.06046877,-0.247309817,0.116546581,0.01826497,0.079548065,0.027439662,-0.17821147,0.073912926,-0.080743874,-0.002627652,0.246381898,0.117232153,0.257132724,0.240347769,0.021484421,-0.05776712,-0.11960117,0.103982934,-0.088367065,0.144171787,0.091879438,-0.19683573,0.17765271,0.026830403,-0.020620158,0.181830164,-0.157494637,-0.080498224,0.225261252,0.213121242,0.240512259,-0.242004573,0.326110316,0.350208042,-0.070949717,0.176039893,0.097911371,-0.099160698,-0.042718107
"sample_38_Nasal",0.015514257,0.042319504,0.407223988,0.228325403,0.116757033,0.110943523,0.170617667,0.014615139,0.19343134,0.082352528,0.135088077,-0.102379199,-0.090819963,0.106089537,0.2766725,0.253795847,0.090258676,0.034093658,0.234521,-0.063019247,0.084825471,0.242732547,0.204599716,0.221334052,0.252763969,0.323369238,0.328421114,-0.014043275,0.187623562,0.135232338,0.236786852,0.167963558,-0.130831457,-0.022888786,0.114165371,0.141257681,0.296386972,-0.066199383,-0.051253029,0.235756824,0.2155614,0.212056926,-0.131078444,0.356698946,0.498201608,0.293821561,0.206467236,0.258098589,-0.143801601,0.156277358
"sample_39_Nasal",0.263865039,0.150764153,0.46744523,-0.087810355,0.02619452,-0.100589814,0.357165272,0.033564737,0.306072166,0.115535952,0.316604146,0.197511095,-0.021489722,-0.208096757,0.271306151,0.321484607,0.357683619,0.022222905,0.309556083,-0.441944762,0.224676661,0.268196609,0.154042428,0.411162849,0.335837208,0.508021875,0.447029216,-0.170684252,0.130396712,0.093304398,0.463400298,0.4584966,0.068088145,-0.208743036,0.135907161,0.53878897,0.337081644,-0.217779805,0.053897596,0.335564414,0.560003692,0.485608024,-0.313636917,0.359030359,0.544013363,0.419483311,0.000241553,0.32386349,-0.154092204,0.199731933
