"","total_genusmass","simpson","shannon","richness","Bacteria","Eukaryota","Viruses"
"sample_1",1.31905273257651,0.0709819051381997,0.255502756412294,37,20.570110707639,0.110114679194614,0.00852442118425785
"sample_2",-1.75103340212688,0.607828362578343,1.55346075112337,3,0.00594428486846105,0.000849270368762244,8.56317925890332e-05
"sample_3",2.64938022462256,0.236760213589321,0.502923151685292,20,430.115170534211,2.09197901899901,13.7434554973822
"sample_4",1.65995821527351,0.194312529064625,0.399883348167613,17,45.0143291080156,0.0118386994048682,0
"sample_5",1.52212520253248,0.272531018919672,0.577859316341675,27,33.2163150619318,0.0533438126673285,0
"sample_6",1.47210764123756,0.199846565852357,0.53934578166555,27,29.6520174552603,0.003645777499027,0
"sample_7",1.53440475075784,0.105828641337319,0.376729957720872,96,33.2143576079421,0.979761472349192,0
"sample_8",1.73692138516935,0.290058201465454,0.546638434010123,22,45.3800301999585,8.03474263381685,1.12066905615293
"sample_9",1.55623855901912,0.035988604010901,0.122652985841456,18,35.4444513636255,0.539911713426026,0
"sample_10",0.797025307627259,0.793732343744618,2.06773030499188,46,6.12849584882026,0.0471497620074672,0.0358212351305079
"sample_11",0.00932722955223283,0.562840696576135,1.0489210724811,12,0.981772304073557,0.0352391699487863,5.96020490389766e-05
"sample_12",1.42184165209613,0.0787013249167352,0.205138412860645,16,25.3885439586725,0.151393271086371,0.879524007051747
"sample_13",1.47852688276903,0.628488218938116,1.16731646022091,24,30.032445041486,0.0433857256434833,0.00209611035897739
"sample_14",1.30123987314075,0.349799610906572,0.880110343493514,29,19.8402424935448,0.0455553906072583,0.000257505778429668
"sample_15",-0.69242179706278,0.611466772878522,1.63852068511255,8,0.175094445132645,0.0169261236243074,0.00170407521927316
"sample_16",-1.90243424167535,0.886666620977404,3.43355599005597,1,0.00608963805832354,0.00584514411895174,0.000400296382709483
"sample_17",-0.257620534577401,0.651919032986387,1.62950881660508,11,0.495858924146831,0.0362363451683812,0
"sample_18",1.5545461533481,0.625134495413439,1.15645939885943,96,18.3278183361458,0.169504758617338,6.24955478622615
"sample_19",1.49369710127894,0.232077831616913,0.507011572676561,10,30.33678660105,0.167342507039524,0
"sample_20",1.50636605659519,0.440144951085445,0.961524531397712,19,26.9084050700311,0.0832165381920112,5.06306937631394
"sample_21",1.42463876648059,0.281751472554051,0.516024562789826,28,26.5083620317495,0.0623074054941932,0.0077857365306758
"sample_22",1.30232124439235,0.128718446893535,0.346702247055123,42,19.952382448146,0.0503992015468657,0.0526335695015254
"sample_23",2.42140361136139,0.580984768439337,1.19482930422566,58,238.615169487568,6.2872073865519,16.8124507054597
"sample_24",2.52844392884579,0.0279363529148562,0.0952362249457188,6,337.222418533335,0,0
