"","HALLMARK_ADIPOGENESIS","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_APOPTOSIS","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_COAGULATION","HALLMARK_COMPLEMENT","HALLMARK_DNA_REPAIR","HALLMARK_E2F_TARGETS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_G2M_CHECKPOINT","HALLMARK_GLYCOLYSIS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEME_METABOLISM","HALLMARK_HYPOXIA","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MTORC1_SIGNALING","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYOGENESIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_P53_PATHWAY","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PEROXISOME","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PROTEIN_SECRETION","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_SPERMATOGENESIS","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_UP","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_XENOBIOTIC_METABOLISM"
"sample_75",0.043992255,0.192481428,-0.095881774,0.287093165,0.30271271,0.167453392,0.146703879,-0.197258952,0.082347509,0.12610982,0.278371021,-0.108435131,-0.218175591,0.083884453,0.017810367,-0.019013989,-0.213395911,-0.157748191,-0.062846419,-0.109821753,-0.055327464,0.010735965,0.185059771,0.192284499,0.181249072,0.460511921,0.394646989,0.083625698,0.059711718,0.176962278,-0.244178341,-0.273316218,-0.193366145,0.144211222,0.097714412,-0.299064728,0.222984972,-0.193424363,-0.203202981,0.040398818,-0.143145806,0.098971543,-0.189726437,0.24141895,0.399001655,-0.053650985,-0.055023897,0.028079521,-0.038791145,-0.032133903
"sample_76",-0.320865769,0.36558793,-0.472708403,0.087629188,0.077545436,0.175050762,0.003287025,-0.003466883,-0.275591249,0.065336481,0.153713106,-0.405413582,-0.350728552,0.227533589,-0.273176793,-0.228020817,-0.38455859,-0.253285316,-0.298576407,0.411729585,-0.188832715,0.084633178,0.09070183,0.42969368,0.378344361,0.132721229,0.214928026,0.272818157,0.209204845,-0.199726008,-0.247492734,-0.597985692,-0.321332123,0.290153817,-0.261360025,-0.53714828,-0.096257656,0.276033856,-0.379583686,-0.108103779,-0.504070503,-0.320886438,0.170397513,-0.12116943,0.426246266,-0.470894448,-0.201223204,0.045064404,0.006855933,-0.183475089
"sample_77",0.136836577,0.011671,-0.377810174,0.004582852,0.154226521,0.124486067,-0.057819214,-0.066393254,0.055885005,0.085736507,0.155763138,-0.058498784,-0.209877072,0.139237131,-0.204364848,-0.189865567,-0.108273217,-0.221497592,-0.212313813,-0.004078393,-0.128839075,-0.067420253,-0.0090466,-0.0245214,-0.12905832,0.201291132,0.114807873,0.063915632,-0.031658906,-0.076016075,-0.163242468,-0.255059398,0.024111845,0.343087167,0.182996905,-0.135574614,-0.002364815,0.408102694,-0.155734826,0.027337608,-0.37320863,-0.001364158,-0.030063365,0.096131752,-0.19214084,-0.134673738,-0.254263525,0.083277379,-0.061745553,-0.020371433
"sample_78",0.363856355,0.516761711,0.109058045,-0.068081619,-0.068915608,-0.324002242,0.4314175,-0.062644268,0.372015633,-0.043984272,0.327201482,0.421175825,0.139292314,-0.15242491,-0.193174666,-0.198085379,0.283410314,0.072751281,-0.061484825,-0.307703363,0.214220518,0.190042864,0.296712061,0.380335508,0.235151591,0.526775934,0.508250372,-0.388324818,0.053643345,0.125929781,0.428196447,0.535815191,0.332700117,-0.206974135,0.02880094,0.536955416,0.320641134,0.054463318,0.214266686,0.325735868,0.354357015,0.512146541,-0.337279985,0.245917084,0.399289602,0.435770452,-0.12484594,0.339597984,-0.010489946,0.032744654
"sample_79",-0.356700851,-0.276709275,-0.451397458,0.061333327,-0.009379586,0.023265062,-0.430332984,-0.047945178,-0.411416055,-0.065723254,-0.338067784,-0.426614321,-0.207356467,0.066658453,-0.305831586,-0.256922847,-0.393983129,-0.276877151,-0.293337642,-0.002958458,-0.286827853,-0.309667835,-0.274774051,-0.327940702,-0.299302667,-0.459765497,-0.446930724,0.345292768,-0.113168493,-0.326240778,-0.522774809,-0.601005218,-0.323642091,0.202873897,-0.317714049,-0.553320165,-0.491907581,0.362523714,-0.335310252,-0.43370591,-0.579866205,-0.618122045,0.264271179,-0.454929355,-0.484625613,-0.501297244,-0.149921772,-0.344312785,0.01617378,-0.238103451
"sample_80",-0.335492216,-0.229255324,-0.47482258,0.009108171,0.065869312,0.240005769,-0.37653442,-0.007083816,-0.319174423,-0.054795071,-0.305487402,-0.37028463,-0.297444177,0.150812088,-0.205150764,-0.104108829,-0.414013485,-0.327570166,-0.259770793,0.242619162,-0.28651788,-0.141685626,-0.168932951,-0.332859232,-0.175106078,-0.615791635,-0.484650417,0.343346257,-0.121657609,-0.364673811,-0.470252848,-0.596628626,-0.250473477,0.298716256,-0.109412448,-0.5434024,-0.336989483,0.384616225,-0.399883361,-0.373144267,-0.602239794,-0.446579717,0.171391564,-0.297930461,-0.321800711,-0.48115691,-0.326776109,-0.173481099,0.195837178,-0.163868302
"sample_81",-0.273885632,0.219451775,-0.502157171,0.068840845,0.152074054,0.255828295,-0.211093265,0.068266669,-0.194087515,0.125383111,0.031597442,-0.26240746,-0.313843824,0.220883667,-0.203610203,-0.230643222,-0.274701661,-0.326511487,-0.255341682,0.440558175,-0.140266626,-0.031225899,0.02177128,0.02685887,-0.059996132,0.188544901,0.114302324,0.252259501,0.19855211,-0.33165109,-0.415175893,-0.451852983,-0.217976405,0.249870831,-0.375695886,-0.399409171,-0.2374054,0.387709494,-0.301041601,-0.145840633,-0.488584187,-0.239093219,0.095702163,-0.232564306,-0.233076237,-0.337576544,-0.301714844,-0.038537377,0.094061296,-0.071506739
"sample_82",-0.293703796,0.22410766,-0.17747414,0.131305419,0.185159052,0.194997126,0.17652318,0.069611072,0.194505886,0.097896313,0.145416162,-0.300858746,-0.362703392,0.314110124,0.009942749,0.01123372,-0.273164366,-0.27383495,-0.203499003,0.313144951,-0.173863625,0.107737053,0.242128645,0.438547229,0.482627119,0.682939826,0.580649354,0.232623996,0.195183401,-0.103378502,-0.194341798,-0.47381839,-0.263720393,0.317197565,-0.149817817,-0.427239248,0.071117751,0.111252587,-0.024226371,0.082254786,-0.355309408,-0.240351685,0.100427481,-0.166994452,0.500306255,-0.283232158,-0.209561196,0.06689624,-0.14881576,-0.040910414
"sample_83",0.13687785,0.348414346,-0.150378981,0.161790749,0.18968719,0.233205307,0.102740672,0.105260867,0.24027669,0.151440888,0.253241515,0.000771898,0.03660758,0.106427402,-0.108856853,-0.121076605,-0.078997956,0.026853552,-0.036261751,0.221025821,-0.016851274,0.132153465,0.190283726,0.356970603,0.209314008,0.270069897,0.240637458,-0.107320205,0.134540106,0.103810293,-0.052629069,-0.084126819,0.232175061,0.170141645,0.02237852,-0.168934908,0.115169494,-0.088674565,0.026560549,0.222925996,-0.201249214,0.108050033,-0.232636454,0.081833478,0.26106205,0.109451351,-0.20563497,0.076287411,-0.016311181,0.044910843
"sample_84",-0.008293991,0.225869841,-0.325478506,0.045302481,0.192109068,0.040452929,0.202322776,-0.138138984,0.033594939,0.081669154,0.135312468,-0.135535013,-0.322879525,0.158331268,-0.03020863,-0.061088068,-0.243390548,-0.257948132,-0.121440826,0.23222109,-0.167658824,0.094929124,0.203116373,0.252466739,0.267702621,0.639199295,0.513193206,0.041396541,0.067657613,-0.093003884,-0.23451561,-0.296211797,-0.06139659,0.209101662,0.150741914,-0.390884005,0.126098924,0.125184041,-0.191337808,-0.0241964,-0.417044575,-0.047382856,-0.168519902,0.10070455,0.396196587,-0.039593447,-0.155150841,0.1597704,0.094986365,-0.07734349
"sample_85",-0.376030822,-0.005961042,-0.50563237,0.024265203,0.086890133,0.149434794,-0.40425286,-0.022111916,-0.329572885,-0.069424437,-0.233098316,-0.35554458,-0.228136035,0.168497038,-0.279921385,-0.188533723,-0.4279389,-0.269913759,-0.236318301,0.193360584,-0.329262298,-0.188472446,-0.176987499,-0.291316111,-0.147268508,-0.272189934,-0.270097812,0.424667075,-0.007566744,-0.333658681,-0.502750018,-0.612016017,-0.205088156,0.278197215,-0.332786099,-0.55776863,-0.388999394,0.375488334,-0.377610062,-0.361827996,-0.581029759,-0.497039195,0.251686796,-0.470530251,-0.414183967,-0.449537879,-0.312522464,-0.208716479,0.001357628,-0.276651464
"sample_86",-0.396889841,-0.241142701,-0.484529652,-0.048757925,-0.004807226,0.162560652,-0.419577634,0.014879067,-0.433450488,-0.160686261,-0.373222441,-0.415496621,-0.268386952,0.124575072,-0.252568399,-0.270340853,-0.411594626,-0.347035447,-0.249658332,0.182076447,-0.300958668,-0.277786857,-0.297194268,-0.415604163,-0.282000864,-0.661687174,-0.550056014,0.381579104,-0.183040367,-0.37875858,-0.501068234,-0.619439271,-0.318833454,0.255522284,0.064406328,-0.57232436,-0.432387302,0.381132138,-0.336390717,-0.425329045,-0.579298067,-0.519957831,0.213642194,-0.49403826,-0.511512097,-0.486860531,-0.241484526,-0.293123041,0.180752321,-0.217430802
"sample_87",-0.367076067,-0.272031824,-0.447889174,0.069568516,-0.088283383,0.181436467,-0.455442192,0.085753104,-0.372735878,-0.061744649,-0.324457729,-0.408858294,-0.260057931,0.158418991,-0.221888614,-0.224740861,-0.376806007,-0.33851831,-0.305494608,0.24446173,-0.274794772,-0.326776062,-0.289479511,-0.385263087,-0.314965775,-0.671054238,-0.558325429,0.337625767,-0.175623108,-0.356851103,-0.490751207,-0.58232244,-0.263933121,0.220824436,-0.081400013,-0.550392582,-0.397273774,0.307784981,-0.330230768,-0.432159144,-0.562646056,-0.477935625,0.252313562,-0.488697693,-0.515899505,-0.482718354,-0.183719341,-0.261025599,0.02903274,-0.207448622
"sample_88",-0.378933995,-0.171664706,-0.513831345,0.08620602,0.080614922,0.091257778,-0.443834452,0.089561065,-0.416962688,-0.013983301,-0.317155305,-0.411687582,-0.241564654,0.163000422,-0.225310205,-0.269909986,-0.396782618,-0.321522034,-0.300082471,0.220565773,-0.286676452,-0.308558948,-0.205949453,-0.417445794,-0.240885176,-0.60854341,-0.487030155,0.390003445,-0.045096845,-0.333031976,-0.550332342,-0.618274417,-0.273774155,0.241792051,-0.383453192,-0.569742407,-0.39169464,0.346235634,-0.234972726,-0.40559377,-0.56520027,-0.54860707,0.343084847,-0.495514715,-0.473306992,-0.492063664,-0.156160806,-0.325206459,0.117606905,-0.219315538
"sample_89",-0.359356865,-0.29032165,-0.460463746,-0.067507292,0.032934224,0.115150957,-0.440044204,-0.083794822,-0.386960488,-0.079644812,-0.317884596,-0.355275163,-0.26550758,0.110157763,-0.215853333,-0.206635443,-0.399097839,-0.361653235,-0.267433635,0.132672188,-0.301507089,-0.286037526,-0.290270379,-0.450559358,-0.316166212,-0.687075086,-0.572486839,0.366477555,-0.214577343,-0.413892263,-0.521908906,-0.586821888,-0.260883944,0.260552006,-0.112553222,-0.554887805,-0.40812005,0.378537958,-0.382904722,-0.413946952,-0.615598789,-0.556084302,0.238083583,-0.420565001,-0.519058899,-0.459488028,-0.25866153,-0.292724147,0.071084244,-0.223726208
